data_zmiany,cena_pln_m3
05-03-2026,4833
06-03-2026,5008
07-03-2026,5069
08-03-2026,5069
09-03-2026,5069
10-03-2026,5272
11-03-2026,5178
12-03-2026,5243
13-03-2026,5401
14-03-2026,5513
15-03-2026,5513
16-03-2026,5513
17-03-2026,5562
18-03-2026,5548
19-03-2026,5644
20-03-2026,5739
21-03-2026,5733
22-03-2026,5733
23-03-2026,5733
24-03-2026,5688
25-03-2026,5658
26-03-2026,5626
27-03-2026,5611
28-03-2026,5714
29-03-2026,5714
30-03-2026,5424
31-03-2026,5450
01-04-2026,5466
02-04-2026,5433
03-04-2026,5450
04-04-2026,5450
