data_zmiany,cena_pln_m3
05-03-2026,5760
06-03-2026,6150
07-03-2026,6300
08-03-2026,6300
09-03-2026,6300
10-03-2026,6359
11-03-2026,6195
12-03-2026,6192
13-03-2026,6399
14-03-2026,6495
15-03-2026,6495
16-03-2026,6495
17-03-2026,6577
18-03-2026,6565
19-03-2026,6620
20-03-2026,6737
21-03-2026,7258
22-03-2026,7258
23-03-2026,7258
24-03-2026,7171
25-03-2026,7053
26-03-2026,6749
27-03-2026,6870
28-03-2026,7041
29-03-2026,7041
30-03-2026,6761
31-03-2026,6796
01-04-2026,6782
02-04-2026,6771
03-04-2026,6988
04-04-2026,6988
05-04-2026,6988
06-04-2026,6988
07-04-2026,6988
08-04-2026,6950
09-04-2026,6803
10-04-2026,6810
11-04-2026,6720
12-04-2026,6720
13-04-2026,6720
14-04-2026,6565
15-04-2026,6398
16-04-2026,6346
17-04-2026,6247
18-04-2026,6104
19-04-2026,6104
20-04-2026,6104
21-04-2026,6410
22-04-2026,5916
23-04-2026,5989
24-04-2026,6187
25-04-2026,6296
26-04-2026,6700
27-04-2026,6296
28-04-2026,6384
29-04-2026,6311
30-04-2026,6470
01-05-2026,6465
02-05-2026,6465
03-05-2026,6465
04-05-2026,6465
05-05-2026,6465
06-05-2026,6426
07-05-2026,6342
08-05-2026,6217
09-05-2026,6119
10-05-2026,6119
11-05-2026,6119
12-05-2026,6034
13-05-2026,6112
14-05-2026,6049
15-05-2026,6018
16-05-2026,6047
17-05-2026,6047
18-05-2026,6047
19-05-2026,6187
20-05-2026,6156
21-05-2026,6106
22-05-2026,6051
23-05-2026,5950
24-05-2026,5950
25-05-2026,5950
26-05-2026,5950
27-05-2026,5793
28-05-2026,5599
29-05-2026,5577
30-05-2026,5500
31-05-2026,5500
01-06-2026,5500
02-06-2026,5628
03-06-2026,5628
04-06-2026,5698
05-06-2026,5698
06-06-2026,5674
07-06-2026,5674
08-06-2026,5674
09-06-2026,5682
